Seed,NW1,NW2,Trees,Unsolvable?
70327,66,16,98860659064,0
70328,58,16,307000000000,0
70329,66,8,108000000000,0
70330,73,24,11222555512,0
70331,74,20,8208366544,0
70332,74,34,8737495116,0
70333,69,22,19772540564,0
70334,73,32,9075993760,0
70335,75,28,4454939040,0
70336,70,12,28029376269,0
70337,74,26,9178083250,0
70338,70,4,32780703616,0
70339,74,36,6082887135,0
70340,76,34,3036160536,0
70341,75,30,6452266682,0
70342,76,40,4737961763,0
70343,71,34,13542278721,0
70344,66,6,106000000000,0
70345,70,20,27129773475,0
70346,69,24,46234335180,0
70347,72,12,18837619488,0
70348,71,24,14806011807,0
70349,72,10,19261748188,0
70350,72,22,16631927156,0
70351,71,28,15894262179,0
70352,70,24,30779063477,0
70353,74,28,6249217653,0
70354,68,0,80131688667,0
70355,74,30,9352660865,0
70356,71,22,26947325377,0
70357,67,30,32843862612,0
70358,73,20,9365192424,0
70359,74,22,7002764920,0
70360,72,14,18089127582,0
70361,67,6,109000000000,0
70362,76,44,4421910528,0
70363,74,4,13412742080,0
70364,74,30,6243447214,0
70365,76,30,3899017661,0
70366,71,18,27745811872,0
70367,73,14,13075740846,0
70368,69,60,11790224384,0
70369,71,38,20837124828,0
70370,65,12,173000000000,0
70371,70,26,19094268410,0
70372,64,6,212000000000,0
70373,66,0,160000000000,0
70374,72,16,11712458808,0
70375,72,26,11467146720,0
70376,72,22,14544565001,0
70377,76,52,2582501888,0
70378,75,54,4361676032,0
70379,77,24,2667712292,0
70380,69,14,46686380025,0
70381,74,32,7039318401,0
70382,74,24,9074122356,0
70383,77,20,3140692268,0
70384,71,16,17637696881,0
70385,71,2,34914169423,0
70386,69,6,54331030398,0
70387,72,20,16782817800,0
70388,72,28,11237768640,0
70389,66,14,108000000000,0
70390,68,16,31403570877,0
70391,74,24,7302016750,0
70392,65,12,122000000000,0
70393,72,4,23351179299,0
70394,78,44,1732717980,0
70395,73,12,12858405760,0
70396,73,16,12810310512,0
70397,70,26,15478669248,0
70398,74,24,8181491428,0
70399,71,6,22815471403,0
70400,65,2,101000000000,0
70401,74,16,11030269156,0
70402,57,0,1700000000000,0
70403,63,8,121000000000,0
70404,68,24,45163698784,0
70405,73,14,9660751104,0
70406,74,62,6556343472,0
70407,72,18,15179302388,0
70408,73,24,12452901440,0
70409,73,48,7568144640,0
70410,75,16,7328868966,0
70411,71,18,24233980068,0
70412,73,34,6309450272,0
70413,73,14,14246751809,0
70414,71,10,29064530304,0
70415,75,26,5729305772,0
70416,70,12,37041825856,0
70417,72,32,12065889608,0
70418,71,10,25147930176,0
70419,73,10,13044700008,0
70420,72,16,14888388096,0
70421,68,24,28692740600,0
70422,67,8,68113407000,0
70423,74,14,10457792817,0
70424,77,32,2608750804,0
70425,72,16,10386004032,0
70426,77,26,2765619600,0
70427,69,12,35762259056,0
70428,70,12,23030648992,0
70429,68,8,56906400845,0
70430,67,4,108000000000,0
70431,76,28,3948128968,0
70432,68,10,43946644091,0
70433,74,18,10759609843,0
70434,70,10,37184393320,0
70435,70,16,24873591042,0
70436,78,32,1801812979,0
70437,72,20,16054775580,0
70438,68,4,56029056448,0
70439,72,2,26205822720,0
70440,73,26,11853864000,0
70441,75,32,4639826606,0
70442,71,30,14207749848,0
70443,74,8,10575722316,0
70444,74,30,6428780729,0
70445,73,24,9290748462,0
70446,69,2,49443788313,0
70447,68,4,65885996616,0
70448,70,36,11802342480,0
70449,64,14,81651298760,0
70450,73,26,11332843045,0
70451,73,22,12201061504,0
70452,71,16,25699911936,0
70453,75,30,4199275040,0
70454,65,0,176000000000,0
70455,75,38,4899098676,0
70456,72,18,16361575776,0
70457,64,6,204000000000,0
70458,78,40,1796870044,0
70459,76,42,2698585376,0
70460,73,14,12411620604,0
70461,75,28,5800594842,0
70462,70,12,31785644539,0
70463,73,18,13456132388,0
70464,67,20,51000108894,0
70465,70,6,49118319572,0
70466,74,32,5971430976,0
70467,68,22,38790687528,0
70468,73,48,4074089508,0
70469,75,16,6564719885,0
70470,73,12,17194807168,0
70471,71,32,14937614202,0
70472,75,22,7169971931,0
70473,72,10,14214803344,0
70474,73,22,8408855220,0
70475,79,40,1692717143,0
70476,71,10,25536661032,0
70477,70,16,36902951812,0
70478,73,12,15986280108,0
70479,72,14,17880262580,0
70480,67,8,103000000000,0
70481,74,26,9436971136,0
70482,75,42,4201354640,0
70483,76,34,2422170296,0
70484,78,40,1793350560,0
70485,76,32,3327266704,0
70486,78,62,1444883832,0
70487,73,28,10464896364,0
70488,72,18,11666090120,0
70489,65,8,128000000000,0
70490,71,20,25091934586,0
70491,67,20,59373483932,0
70492,67,6,84944853810,0
70493,76,30,3755537172,0
70494,71,20,17949151802,0
70495,73,26,8072806392,0
70496,69,10,40336071058,0
70497,71,16,23682235724,0
70498,71,40,14579308800,0
70499,75,44,3148398144,0
70500,70,10,38228023953,0
70501,72,28,9188299261,0
70502,67,4,111000000000,0
70503,74,32,8032704701,0
70504,80,44,801852289,0
70505,71,20,22400386801,0
70506,75,20,7527221568,0
70507,71,4,31911551536,0
70508,69,20,40478438643,0
70509,58,4,1250000000000,0
70510,71,18,22145631207,0
70511,71,22,12056446080,0
70512,73,14,10674539994,0
70513,69,16,35989544322,0
70514,71,12,25097243928,0
70515,73,14,14456734848,0
70516,76,28,3252784612,0
70517,72,22,21053300436,0
70518,77,38,2524774752,0
70519,69,10,56792826460,0
70520,70,18,41360391663,0
70521,73,14,12616462782,0
70522,72,2,25014285681,0
70523,66,6,147000000000,0
70524,74,32,6204806784,0
70525,72,32,15060162998,0
70526,74,30,4978852731,0
70527,75,26,6175084235,0
70528,74,22,9878404977,0
70529,72,24,11014463712,0
70530,74,18,9251086880,0
70531,69,14,43562313060,0
70532,67,8,94596387584,0
70533,68,8,68057748297,0
70534,77,34,2573553188,0
70535,72,4,19130745535,0
70536,73,28,11678077831,0
70537,72,32,12266104740,0
70538,72,8,21223112123,0
70539,69,44,21597062208,0
70540,76,24,4665890176,0
70541,74,22,9254583232,0
70542,73,24,8909501700,0
70543,69,8,55917753852,0
70544,73,20,13734438592,0
70545,67,36,47432494184,0
70546,75,20,7855964364,0
70547,73,46,4944173941,0
70548,74,38,4077032960,0
70549,61,20,213000000000,0
70550,70,12,37094756544,0
70551,70,38,13598607600,0
70552,67,4,125000000000,0
70553,73,34,12909283842,0
70554,76,18,5175468950,0
70555,71,12,19368292959,0
70556,67,14,78882568252,0
70557,71,4,24312672976,0
70558,76,28,5155150545,0
70559,78,32,2453604828,0
70560,73,8,14728302050,0
70561,75,42,4598210876,0
70562,70,4,41816798709,0
70563,66,20,90542303200,0
70564,75,30,6557428630,0
70565,71,18,17826355904,0
70566,77,28,2613398680,0
70567,68,4,70765199904,0
70568,74,18,9802104424,0
70569,77,26,2285995817,0
70570,75,24,6217631010,0
70571,72,48,5401036908,0
70572,67,10,88497263925,0
70573,77,42,1808165660,0
70574,73,18,14521256274,0
70575,77,28,3677663724,0
70576,73,20,10004842757,0
70577,71,8,22694351303,0
70578,74,20,9262345677,0
70579,76,24,4904066272,0
70580,73,12,13171073636,0
70581,67,2,72144300684,0
70582,69,6,60753777056,0
70583,80,46,995125488,0
70584,72,12,16134058548,0
70585,65,2,168000000000,0
70586,72,16,20929835988,0
70587,74,20,9903882737,0
70588,75,26,5165549568,0
70589,76,52,2454158170,0
70590,68,10,80105435136,0
70591,73,26,9647155012,0
70592,70,8,39142055848,0
70593,72,26,10188359408,0
70594,68,8,64703820528,0
70595,76,24,6124414464,0
70596,69,6,49937891013,0
70597,73,28,8974774272,0
70598,69,16,34607507904,0
70599,74,16,9187874941,0
70600,75,24,7058428544,0
70601,70,8,45081265735,0
70602,72,16,23586356302,0
70603,71,24,24442135949,0
70604,76,50,3063312960,0
70605,63,2,293000000000,0
70606,74,20,7844969104,0
70607,74,40,5200534478,0
70608,71,8,26059554689,0
70609,71,14,19885517246,0
70610,76,16,5085901803,0
70611,70,16,29916655510,0
70612,75,24,5839169280,0
70613,73,24,8717105520,0
70614,65,14,57684798000,0
70615,73,48,5261433648,0
70616,76,20,4308284715,0
70617,74,26,7406769944,0
70618,67,4,108000000000,0
70619,71,8,27653631456,0
70620,66,10,79772953680,0
70621,70,10,36211031472,0
70622,67,14,62769813800,0
70623,76,32,3530253342,0
70624,75,30,4687253258,0
70625,67,0,116000000000,0
70626,76,18,5864011720,0
70627,73,22,10399620864,0
70628,76,28,4830655291,0
70629,72,18,17196089487,0
70630,70,14,23502628765,0
70631,73,32,6252045016,0
70632,73,40,9960214509,0
70633,73,10,13133828808,0
70634,76,24,4184883696,0
70635,69,32,18529440930,0
70636,69,8,42930362552,0
70637,73,36,7908401880,0
70638,73,20,12238807189,0
70639,73,22,14279865885,0
70640,64,18,103000000000,0
70641,70,16,23159323518,0
70642,79,48,1300215024,0
70643,71,16,17243275104,0
70644,70,4,35221870080,0
70645,75,20,7239527124,0
70646,72,18,14921497072,0
70647,68,8,60312295926,0
70648,77,36,2117481100,0
70649,76,24,4195491264,0
70650,72,14,18334236996,0
70651,62,6,470000000000,0
70652,66,6,110000000000,0
70653,73,40,5312580259,0
70654,75,28,3695635596,0
70655,74,24,6215432440,0
70656,70,20,22921932043,0
70657,71,24,17573371128,0
70658,71,16,18935314655,0
70659,75,42,6258315623,0
70660,71,6,31585127706,0
70661,80,48,660618465,0
70662,70,8,37688063010,0
70663,71,18,18548291824,0
70664,58,4,1140000000000,0
70665,77,22,2757363250,0
70666,71,6,20175071600,0
70667,79,44,1290288375,0
70668,75,28,7111873664,0
70669,66,8,113000000000,0
70670,75,32,5887613003,0
70671,69,18,62313924582,0
70672,68,20,42170874552,0
70673,69,14,43274471704,0
70674,77,34,1873749115,0
70675,79,52,1067449072,0
70676,66,0,118000000000,0
70677,71,6,23908292030,0
70678,71,18,28548408320,0
70679,78,46,1413493536,0
70680,74,20,8360186156,0
70681,71,18,14752829772,0
70682,68,20,55689818301,0
70683,72,18,15980911703,0
70684,72,16,20319942352,0
70685,73,12,13425165544,0
70686,67,16,51568060005,0
70687,78,26,2662396160,0
70688,76,22,5409461320,0
70689,72,24,13595447640,0
70690,66,16,97595153082,0
70691,69,6,43849632960,0
70692,73,16,12955945888,0
70693,76,36,3334736031,0
70694,68,16,55896522529,0
70695,74,10,9271456992,0
70696,68,14,46448903040,0
70697,72,14,15455896421,0
70698,74,16,8671878144,0
70699,69,10,49113134815,0
70700,76,20,4821312888,0
70701,81,62,497708313,0
70702,72,14,18516139085,0
70703,71,36,11863143252,0
70704,72,20,21645157488,0
70705,73,22,11306269611,0
70706,75,32,4795342592,0
70707,73,40,5348377107,0
70708,72,12,17425037520,0
70709,68,2,96805182320,0
70710,71,24,27224192800,0
70711,73,22,13062712320,0
70712,71,24,18335712192,0
70713,69,8,54071391379,0
70714,74,24,9145284624,0
70715,70,12,30760597524,0
70716,70,8,32834273792,0
70717,75,24,6702774873,0
70718,69,18,40013065259,0
70719,68,22,42123953680,0
70720,70,10,32650756974,0
70721,74,64,4579543872,0
70722,71,4,26105575616,0
70723,77,40,3014240316,0
70724,71,4,38416879309,0
70725,71,14,27668753756,0
70726,62,8,401000000000,0
70727,76,44,3467348885,0
70728,68,20,46027812516,0
70729,72,12,17988612227,0
70730,71,38,14492685700,0
70731,67,16,47738503260,0
70732,69,8,59936517299,0
70733,65,22,74871488160,0
70734,64,4,257000000000,0
70735,73,30,8611911360,0
70736,68,18,44869050761,0
70737,72,10,17521713488,0
70738,59,8,744000000000,0
70739,74,44,4725859926,0
70740,68,0,64857818520,0
70741,71,12,20328731316,0
70742,70,16,21810673840,0
70743,75,38,6797966784,0
70744,75,32,6379505492,0
70745,75,22,5300863200,0
70746,73,14,11217624829,0
70747,63,0,407000000000,0
70748,72,12,17741991852,0
70749,68,16,79502627649,0
70750,66,10,110000000000,0
70751,74,12,10478226192,0
70752,76,34,4318399547,0
70753,73,14,15696634759,0
70754,66,16,85769590063,0
70755,72,32,7735921757,0
70756,67,30,34466666512,0
70757,77,34,2092250292,0
70758,68,10,47910190896,0
70759,76,24,4709115936,0
70760,74,26,8031753744,0
70761,78,48,1474994977,0
70762,71,12,25020086400,0
70763,68,20,46150117565,0
70764,73,32,8669310723,0
70765,70,20,34753260640,0
70766,75,24,5203642295,0
70767,70,24,24855841615,0
70768,77,52,2661793680,0
70769,70,10,31960940352,0
70770,74,28,9483973261,0
70771,76,24,3900907956,0
70772,74,28,6199550404,0
70773,74,20,8234715840,0
70774,74,16,9991195638,0
70775,75,28,4430920179,0
70776,71,12,28856340244,0
70777,68,8,76741581926,0
70778,66,28,75219741180,0
70779,69,6,47955416976,0
70780,66,20,52154042611,0
70781,66,0,150000000000,0
70782,76,30,4029995265,0
70783,75,10,7850152425,0
70784,76,42,3725368980,0
70785,71,22,25883888128,0
70786,65,0,206000000000,0
70787,69,12,37570428000,0
70788,71,6,25847489005,0
70789,70,14,31569181999,0
70790,70,33,0,1
70791,72,10,20702206854,0
70792,73,14,12413764800,0
70793,71,22,14364162784,0
70794,68,2,78551481913,0
70795,76,24,5054136456,0
70796,72,18,20384719266,0
70797,70,26,24807028313,0
70798,76,22,4996859200,0
70799,73,6,17862197600,0
70800,68,4,80299584260,0
70801,76,28,3986632335,0
70802,77,38,2757747031,0
70803,75,20,6230685356,0
70804,66,6,93309428736,0
70805,71,28,19779311861,0
70806,65,22,85477793483,0
70807,76,32,3518272716,0
70808,72,32,10642721080,0
70809,78,50,1382386480,0
70810,64,10,191000000000,0
70811,68,8,62729648388,0
70812,71,8,25279917516,0
70813,75,26,7729887437,0
70814,69,2,71232384407,0
70815,72,12,19818786400,0
70816,76,36,2843699815,0
70817,75,32,7588874314,0
70818,72,26,14133424800,0
70819,74,18,10288032672,0
70820,63,4,285000000000,0
70821,69,28,16658930087,0
70822,65,18,107000000000,0
70823,65,24,92867418999,0
70824,74,52,3331630764,0
70825,76,36,2883522370,0
70826,65,8,166000000000,0
70827,74,28,10089841536,0
70828,67,6,88840627467,0
70829,69,16,33122245248,0
70830,71,20,30066482172,0
70831,59,4,841000000000,0
70832,64,16,158000000000,0
70833,76,14,3401464320,0
70834,74,10,11376739059,0
70835,74,12,11775929021,0
70836,74,12,10150270688,0
70837,73,12,14605518469,0
70838,70,28,22894837820,0
70839,75,22,5444242560,0
70840,68,6,68999312740,0
70841,68,4,64145320800,0
70842,72,12,21304257012,0
70843,71,14,27835106357,0
70844,69,10,47325034944,0
70845,71,6,22154540688,0
70846,77,30,2563861341,0
70847,63,6,222000000000,0
70848,69,12,24762078513,0
70849,73,16,9415639120,0
70850,75,22,7233179184,0
70851,69,6,61933395648,0
70852,74,26,9493043840,0
70853,67,6,94048746660,0
70854,74,14,10120357189,0
70855,77,22,3510702436,0
70856,69,12,47780913024,0
70857,75,26,5745471388,0
70858,75,24,6053548992,0
70859,70,14,48481372142,0
70860,75,32,5118326460,0
70861,63,10,292000000000,0
70862,71,22,16134159053,0
70863,78,50,1457388336,0
70864,73,14,11121962672,0
70865,73,30,6463888704,0
70866,76,42,3409058772,0
70867,74,12,11352646144,0
70868,73,20,15006951953,0
70869,73,24,10946773404,0
70870,75,22,4243327488,0
70871,70,24,24566376086,0
70872,69,2,53878970515,0
70873,63,0,434000000000,0
70874,73,18,9040378368,0
70875,74,30,8230845888,0
70876,77,34,3383639568,0
70877,74,20,7396484706,0
70878,75,18,6999201993,0
70879,69,20,39503797750,0
70880,71,28,9503149392,0
70881,71,8,32315076608,0
70882,73,16,12727197245,0
70883,65,12,101000000000,0
70884,78,42,1901978880,0
70885,70,12,24214926182,0
70886,68,18,42696287588,0
70887,73,14,12318733448,0
70888,69,16,57720897946,0
70889,72,40,11159190928,0
70890,71,10,28105182511,0
70891,76,52,2251478740,0
70892,70,22,35476369754,0
70893,68,8,68383523241,0
70894,76,26,4569421290,0
70895,78,40,2127221640,0
70896,68,6,69818346080,0
70897,80,56,888335616,0
70898,72,18,19951477952,0
70899,64,6,202000000000,0
70900,69,8,58013833465,0
70901,74,26,6541696925,0
70902,70,14,31991241492,0
70903,75,32,5770350208,0
70904,73,14,12400031889,0
70905,66,4,151000000000,0
70906,65,4,148000000000,0
70907,80,48,931943948,0
70908,69,14,52178835856,0
70909,73,26,5960557436,0
70910,72,14,16938715904,0
70911,65,0,170000000000,0
70912,68,2,77721598976,0
70913,75,38,2655353673,0
70914,57,2,1050000000000,0
70915,64,6,204000000000,0
70916,72,8,19200428472,0
70917,76,16,4775607196,0
70918,63,10,260000000000,0
70919,75,52,2133990749,0
70920,70,22,26087344704,0
70921,70,20,24623823824,0
70922,71,10,30246673983,0
70923,74,18,8858114906,0
70924,64,4,248000000000,0
70925,80,56,727779684,0
70926,73,6,13395215285,0
70927,77,34,2734011385,0
70928,78,52,1557970097,0
70929,62,6,357000000000,0
70930,72,28,14985041904,0
70931,79,40,1008351552,0
70932,63,6,299000000000,0
70933,72,38,15123969216,0
70934,67,28,38937091505,0
70935,70,32,20296223940,0
70936,74,28,8094915648,0
70937,73,20,11073299062,0
70938,76,38,2912058556,0
70939,76,40,4361064576,0
70940,71,16,25253665801,0
70941,67,4,95316432047,0
70942,73,32,8630992954,0
70943,72,30,5459606960,0
70944,67,16,70876285440,0
70945,69,24,47559788496,0
70946,77,22,3295068544,0
70947,57,6,1100000000000,0
70948,75,32,4257977609,0
70949,74,16,10422538122,0
70950,72,6,20372226640,0
70951,76,38,2538066224,0
70952,69,2,52281669564,0
70953,69,20,47971419732,0
70954,67,30,51664890312,0
70955,67,10,58032241560,0
70956,74,30,5853707932,0
70957,73,16,11012136327,0
70958,66,12,116000000000,0
70959,74,34,7336693056,0
70960,68,2,67171075955,0
70961,71,18,25438493381,0
70962,73,10,13518183012,0
70963,77,58,2273455846,0
70964,65,4,169000000000,0
70965,64,6,263000000000,0
70966,68,14,56528748468,0
70967,74,44,4001458176,0
70968,64,6,210000000000,0
70969,69,44,32584788288,0
70970,76,40,3141980125,0
70971,77,32,3365083505,0
70972,72,26,12064239693,0
70973,77,34,3205550712,0
70974,69,6,36617358564,0
70975,72,36,10237766144,0
70976,77,28,2614404632,0
70977,68,4,88815706560,0
70978,72,26,10279411163,0
70979,77,38,2058220440,0
70980,75,26,4952945967,0
70981,71,14,21982026240,0
70982,70,6,38001281231,0
70983,65,18,109000000000,0
70984,69,8,67040404416,0
70985,74,22,7721447664,0
70986,80,62,701373764,0
70987,76,26,4511614080,0
70988,69,12,41631061028,0
70989,76,42,4258706112,0
70990,67,2,83842928640,0
70991,72,16,15733997909,0
70992,73,30,8933047745,0
70993,70,28,20243960064,0
70994,69,30,32708433600,0
70995,69,18,30573427672,0
70996,75,48,4999582230,0
70997,70,28,22106371512,0
